period_label,period_year,bowen_ratio,evap_fraction
1960-1979,1970,0.530718670474359,0.653287909325694
1980-1999,1989,0.5347064438633922,0.6515904093571476
2000-2019,2009,0.5335237457416733,0.6520929348350978
2020-2039,2030,0.5235658634059179,0.6563549525614265
2040-2059,2050,0.5079382540489629,0.6631571268352012
2060-2079,2070,0.503561501471443,0.6650875265304158
2080-2099,2090,0.5010104599177629,0.6662178756934097
