variable,lat,lon,slope
evaporative-fraction_coldest-quarter,-14.0,4.0,0.00043545964927900406
evaporative-fraction_coldest-quarter,-14.0,4.5,0.00047196199496587116
evaporative-fraction_coldest-quarter,-14.0,5.0,0.0005084627440997532
evaporative-fraction_coldest-quarter,-14.0,5.5,0.0005463689920448122
evaporative-fraction_coldest-quarter,-14.0,6.0,0.0005726392070452372
evaporative-fraction_coldest-quarter,-14.0,6.5,0.0005756346952347528
evaporative-fraction_coldest-quarter,-14.0,7.0,0.0005785100871608371
evaporative-fraction_coldest-quarter,-14.0,7.5,0.0005813964775630405
evaporative-fraction_coldest-quarter,-14.0,8.0,0.0005869182447592417
evaporative-fraction_coldest-quarter,-14.0,8.5,0.0005924520748002188
evaporative-fraction_coldest-quarter,-14.0,9.0,0.0005978819515023912
evaporative-fraction_coldest-quarter,-14.0,9.5,0.0005694164761475154
evaporative-fraction_coldest-quarter,-14.0,10.0,0.0005144686216399783
evaporative-fraction_coldest-quarter,-14.0,10.5,0.00048564942110152474
evaporative-fraction_coldest-quarter,-14.0,11.0,0.00045682986577351886
evaporative-fraction_coldest-quarter,-14.0,11.5,0.0005663816063177017
evaporative-fraction_coldest-quarter,-14.0,12.0,0.0008143214952378046
evaporative-fraction_coldest-quarter,-14.0,12.5,0.0010622620050396237
evaporative-fraction_coldest-quarter,-14.0,13.0,0.0013475726092500345
evaporative-fraction_coldest-quarter,-14.0,13.5,0.0011268689164093562
evaporative-fraction_coldest-quarter,-14.0,14.0,0.0007574105901377541
evaporative-fraction_coldest-quarter,-14.0,14.5,0.00038815821920122417
evaporative-fraction_coldest-quarter,-14.0,15.0,1.877652747290475e-05
evaporative-fraction_coldest-quarter,-14.0,15.5,-0.0003814947392259325
evaporative-fraction_coldest-quarter,-14.0,16.0,-0.0007818969232695443
evaporative-fraction_coldest-quarter,-14.0,16.5,-0.0011811767749133563
evaporative-fraction_coldest-quarter,-14.0,17.0,-0.0013769433966704775
evaporative-fraction_coldest-quarter,-14.0,17.5,-0.0014941621394384476
evaporative-fraction_coldest-quarter,-14.0,18.0,-0.001611380527416865
evaporative-fraction_coldest-quarter,-14.0,18.5,-0.0017432687538010733
evaporative-fraction_coldest-quarter,-14.0,19.0,-0.0018838296333948772
evaporative-fraction_coldest-quarter,-14.0,19.5,-0.002014313780126117
evaporative-fraction_coldest-quarter,-14.0,20.0,-0.0021532232030516576
evaporative-fraction_coldest-quarter,-14.0,20.5,-0.0022921324929311166
evaporative-fraction_coldest-quarter,-14.0,21.0,-0.002494528180076962
evaporative-fraction_coldest-quarter,-14.0,21.5,-0.0027180897692839303
evaporative-fraction_coldest-quarter,-14.0,22.0,-0.0029416511810961225
evaporative-fraction_coldest-quarter,-14.0,22.5,-0.0030756230865206036
evaporative-fraction_coldest-quarter,-14.0,23.0,-0.00295374347340493
evaporative-fraction_coldest-quarter,-14.0,23.5,-0.0027876338433651692
evaporative-fraction_coldest-quarter,-14.0,24.0,-0.0026215235924436932
evaporative-fraction_coldest-quarter,-14.0,24.5,-0.00244050162533919
evaporative-fraction_coldest-quarter,-14.0,25.0,-0.0022147365269206817
evaporative-fraction_coldest-quarter,-14.0,25.5,-0.001988971517199562
evaporative-fraction_coldest-quarter,-14.0,26.0,-0.0018249988733302978
evaporative-fraction_coldest-quarter,-14.0,26.5,-0.0018444222708543139
evaporative-fraction_coldest-quarter,-14.0,27.0,-0.0020087337387459615
evaporative-fraction_coldest-quarter,-14.0,27.5,-0.0022220204451254433
evaporative-fraction_coldest-quarter,-14.0,28.0,-0.002435307683689254
evaporative-fraction_coldest-quarter,-14.0,28.5,-0.002528121251435507
evaporative-fraction_coldest-quarter,-14.0,29.0,-0.0025486785563684643
evaporative-fraction_coldest-quarter,-14.0,29.5,-0.0025690318573088878
evaporative-fraction_coldest-quarter,-14.0,30.0,-0.0025902064960627324
evaporative-fraction_coldest-quarter,-14.0,30.5,-0.002807513322858583
evaporative-fraction_coldest-quarter,-14.0,31.0,-0.003025647873679797
evaporative-fraction_coldest-quarter,-14.0,31.5,-0.00324224458918685
evaporative-fraction_coldest-quarter,-14.0,32.0,-0.0032565807036700704
evaporative-fraction_coldest-quarter,-14.0,32.5,-0.0032744857349566053
evaporative-fraction_coldest-quarter,-14.0,33.0,-0.003174096966783206
evaporative-fraction_coldest-quarter,-14.0,33.5,-0.0030737081986098058
evaporative-fraction_coldest-quarter,-14.0,34.0,-0.003061375004195032
evaporative-fraction_coldest-quarter,-14.0,34.5,-0.0031371090028967175
evaporative-fraction_coldest-quarter,-13.5,0.5,0.0003251016494773683
evaporative-fraction_coldest-quarter,-13.5,1.0,0.0003271934886773427
evaporative-fraction_coldest-quarter,-13.5,1.5,0.0003293051960922423
evaporative-fraction_coldest-quarter,-13.5,2.0,0.000338218928802581
evaporative-fraction_coldest-quarter,-13.5,2.5,0.0003612775887761797
evaporative-fraction_coldest-quarter,-13.5,3.0,0.00038772484376316973
evaporative-fraction_coldest-quarter,-13.5,3.5,0.00041417209875015983
evaporative-fraction_coldest-quarter,-13.5,4.0,0.0004336736386730557
evaporative-fraction_coldest-quarter,-13.5,4.5,0.000464188555876414
evaporative-fraction_coldest-quarter,-13.5,5.0,0.0005006901919841766
evaporative-fraction_coldest-quarter,-13.5,5.5,0.0005371911185128348
evaporative-fraction_coldest-quarter,-13.5,6.0,0.0005484737810634431
evaporative-fraction_coldest-quarter,-13.5,6.5,0.0005513489955947513
evaporative-fraction_coldest-quarter,-13.5,7.0,0.0005542240327312833
evaporative-fraction_coldest-quarter,-13.5,7.5,0.0005597842945939018
evaporative-fraction_coldest-quarter,-13.5,8.0,0.0005653218499251774
evaporative-fraction_coldest-quarter,-13.5,8.5,0.00057085497038705
evaporative-fraction_coldest-quarter,-13.5,9.0,0.0005763304375466847
evaporative-fraction_coldest-quarter,-13.5,9.5,0.0005722145239512125
evaporative-fraction_coldest-quarter,-13.5,10.0,0.0005553451677163442
evaporative-fraction_coldest-quarter,-13.5,10.5,0.0005265254349935622
evaporative-fraction_coldest-quarter,-13.5,11.0,0.0004977055248760042
evaporative-fraction_coldest-quarter,-13.5,11.5,0.0006072577976045155
evaporative-fraction_coldest-quarter,-13.5,12.0,0.0008551976865246182
evaporative-fraction_coldest-quarter,-13.5,12.5,0.0011031382850238253
evaporative-fraction_coldest-quarter,-13.5,13.0,0.0013750150406156621
evaporative-fraction_coldest-quarter,-13.5,13.5,0.0013391682463233811
evaporative-fraction_coldest-quarter,-13.5,14.0,0.0009712390601634979
evaporative-fraction_coldest-quarter,-13.5,14.5,0.0006019865118321919
evaporative-fraction_coldest-quarter,-13.5,15.0,0.00023260482010387237
evaporative-fraction_coldest-quarter,-13.5,15.5,-0.00016766653529235294
evaporative-fraction_coldest-quarter,-13.5,16.0,-0.0005680686306385766
evaporative-fraction_coldest-quarter,-13.5,16.5,-0.0009687463087694985
evaporative-fraction_coldest-quarter,-13.5,17.0,-0.0012858378745260691
evaporative-fraction_coldest-quarter,-13.5,17.5,-0.001312175588238807
evaporative-fraction_coldest-quarter,-13.5,18.0,-0.0014293940649146124
evaporative-fraction_coldest-quarter,-13.5,18.5,-0.001546612807682582
evaporative-fraction_coldest-quarter,-13.5,19.0,-0.0016746759592067627
evaporative-fraction_coldest-quarter,-13.5,19.5,-0.001813585204737527
evaporative-fraction_coldest-quarter,-13.5,20.0,-0.0019524944059195971
evaporative-fraction_coldest-quarter,-13.5,20.5,-0.002229678222820872
evaporative-fraction_coldest-quarter,-13.5,21.0,-0.002501225276362328
evaporative-fraction_coldest-quarter,-13.5,21.5,-0.002724786954266684
evaporative-fraction_coldest-quarter,-13.5,22.0,-0.002948348720868429
evaporative-fraction_coldest-quarter,-13.5,22.5,-0.003190144985204651
evaporative-fraction_coldest-quarter,-13.5,23.0,-0.0027598287200643903
evaporative-fraction_coldest-quarter,-13.5,23.5,-0.002593719178722018
evaporative-fraction_coldest-quarter,-13.5,24.0,-0.0024276087504057657
evaporative-fraction_coldest-quarter,-13.5,24.5,-0.0022465868276499565
evaporative-fraction_coldest-quarter,-13.5,25.0,-0.002020821507487978
evaporative-fraction_coldest-quarter,-13.5,25.5,-0.001795056586464246
evaporative-fraction_coldest-quarter,-13.5,26.0,-0.0016367440777165549
evaporative-fraction_coldest-quarter,-13.5,26.5,-0.0017872898883762817
evaporative-fraction_coldest-quarter,-13.5,27.0,-0.002011510942663465
evaporative-fraction_coldest-quarter,-13.5,27.5,-0.0022247978264377227
evaporative-fraction_coldest-quarter,-13.5,28.0,-0.002438084355422428
evaporative-fraction_coldest-quarter,-13.5,28.5,-0.0026807812530369986
