eof,lat,lon,loading,variance_explained_pct
EOF1,-14.5,0.5,0.013545870780944824,99.758
EOF1,-14.5,1.0,0.013546372763812542,99.758
EOF1,-14.5,1.5,0.013547230511903763,99.758
EOF1,-14.5,2.0,0.013547818176448345,99.758
EOF1,-14.5,2.5,0.013547374866902828,99.758
EOF1,-14.5,3.0,0.013546537607908249,99.758
EOF1,-14.5,3.5,0.01354547031223774,99.758
EOF1,-14.5,4.0,0.013543828390538692,99.758
EOF1,-14.5,4.5,0.01354151964187622,99.758
EOF1,-14.5,5.0,0.013539375737309456,99.758
EOF1,-14.5,5.5,0.013537022285163403,99.758
EOF1,-14.5,6.0,0.013535834848880768,99.758
EOF1,-14.5,6.5,0.01353503204882145,99.758
EOF1,-14.5,7.0,0.013533991761505604,99.758
EOF1,-14.5,7.5,0.01353254821151495,99.758
EOF1,-14.5,8.0,0.013527858071029186,99.758
EOF1,-14.5,8.5,0.013523142784833908,99.758
EOF1,-14.5,9.0,0.013518505729734898,99.758
EOF1,-14.5,9.5,0.013515916652977467,99.758
EOF1,-14.5,10.0,0.013519915752112865,99.758
EOF1,-14.5,10.5,0.013522556982934475,99.758
EOF1,-14.5,11.0,0.013522306457161903,99.758
EOF1,-14.5,11.5,0.013533572666347027,99.758
EOF1,-14.5,12.0,0.013548295013606548,99.758
EOF1,-14.5,12.5,0.013554083183407784,99.758
EOF1,-14.5,13.0,0.013553686439990997,99.758
EOF1,-14.5,13.5,0.013555916026234627,99.758
EOF1,-14.5,14.0,0.01355810184031725,99.758
EOF1,-14.5,14.5,0.013558869250118732,99.758
EOF1,-14.5,15.0,0.013557660393416882,99.758
EOF1,-14.5,15.5,0.01355789229273796,99.758
EOF1,-14.5,16.0,0.01355754118412733,99.758
EOF1,-14.5,16.5,0.013556582853198051,99.758
EOF1,-14.5,17.0,0.013555759564042091,99.758
EOF1,-14.5,17.5,0.013555499725043774,99.758
EOF1,-14.5,18.0,0.013554900884628296,99.758
EOF1,-14.5,18.5,0.013553973287343979,99.758
EOF1,-14.5,19.0,0.013553633354604244,99.758
EOF1,-14.5,19.5,0.013554017059504986,99.758
EOF1,-14.5,20.0,0.013554138131439686,99.758
EOF1,-14.5,20.5,0.013553845696151257,99.758
EOF1,-14.5,21.0,0.013552742078900337,99.758
EOF1,-14.5,21.5,0.013551181182265282,99.758
EOF1,-14.5,22.0,0.013549380004405975,99.758
EOF1,-14.5,22.5,0.013547183014452457,99.758
EOF1,-14.5,23.0,0.013548580929636955,99.758
EOF1,-14.5,23.5,0.013549462892115116,99.758
EOF1,-14.5,24.0,0.013549934141337872,99.758
EOF1,-14.5,24.5,0.013550237752497196,99.758
